dataset_name,Train,Test,Class,Length,DTW_LOOCV,UCRSuite_LOOCV,EAP_LOOCV,FastWWSearch,FastWWSearch_EA,FastWWSearch_NoLb,EAP_FastWWSearch,EAP_FastWWSearch_EA,EAP_FastWWSearch_NoLb,UltraFastWWSearch_V1,UltraFastWWSearch_V2,UltraFastWWSearch,UltraFastWWSearch-Global,FastWDTW,EAP_FastWDTW,EAP_FastWDTW_EA,UltraFastWDTW-Local,UltraFastWDTW-Global,FastERP,EAP_FastERP,EAP_FastERP_EA,UltraFastERP-Local,UltraFastERP-Global,FastMSM,EAP_FastMSM,EAP_FastMSM_EA,UltraFastMSM-Local,UltraFastMSM-Global,FastTWE,EAP_FastTWE,EAP_FastTWE_EA,UltraFastTWE-Local,UltraFastTWE-Global,FastLCSS,EAP_FastLCSS,EAP_FastLCSS_EA,UltraFastLCSS-Local,UltraFastLCSS-Global
Crop,7200,16800,24,46,48568.52489,15685.2207,2705.264733,314.1512971,373.8797523,693.4064636,249.1135665,216.2707761,454.1092504,229.3623301,187.2377836,124.3917453,403.6246341,3436.054051,3007.796216,2337.073307,1130.072911,3232.225987,4551.230738,2028.676942,2222.228085,824.8550645,1062.155784,2593.468943,925.993471,7045.763853,6376.528473,995.8241213,5419.328535,3230.548854,6759.585229,5962.231978,1465.178236,3116.032348,1357.25895,1745.4158,953.8258987,2351.307775
DiatomSizeReduction,16,306,4,345,8.589139968,4.108265401,0.699778599,0.114251051,0.124128024,0.170136106,0.068607572,0.04857007,0.075742242,0.036609046,0.038691569,0.011241594,0.017581388,5.500586405,3.79008244,3.166502501,3.192894796,3.897636376,2.659262193,0.684470782,0.412401259,0.187850271,0.150724935,7.074627978,1.950857943,1.22487551,1.177858993,0.958571402,4.468566245,2.570007281,1.982750484,1.38209237,1.398742109,0.220276964,0.061539091,0.058516227,0.049976739,0.055227488
DistalPhalanxOutlineAgeGroup,400,139,3,80,427.5969647,230.6406628,36.91237832,3.096781937,3.752467951,5.283193998,2.33524221,1.351554679,3.37906023,0.999060468,1.144465318,0.912898042,0.860479983,67.6374151,50.8651639,28.45167382,29.48801872,48.74748613,40.20997692,12.69540902,8.805968562,2.538051628,2.826600841,25.74251383,7.75499152,18.78441898,18.07506095,4.760676281,59.6366314,34.06866104,23.91365164,20.32845419,10.29152284,9.140296812,3.143659024,2.388276313,1.529460493,3.509434058
DistalPhalanxOutlineCorrect,600,276,2,80,980.7687756,353.1780139,46.70980645,6.966266807,8.085009745,12.01514703,5.03430389,2.990070879,6.986337695,2.764309542,2.745797648,1.115262215,2.558342529,143.7160228,108.9451987,68.27177688,70.39684233,107.7359508,89.74292907,31.58914004,24.00817567,7.064950859,8.772871632,66.57772061,19.9862591,78.70016562,59.56114447,13.87031019,148.6302971,83.81291707,78.48331019,70.22070448,35.56401294,22.11429727,9.476802887,8.31839466,4.372437791,9.22405359
DistalPhalanxTW,400,139,6,80,392.8860941,192.8818634,28.79540231,3.071622935,3.860167581,5.242649377,2.24422511,1.503150949,3.228177488,1.036532823,1.089556671,1.032354479,0.800565301,67.87724409,50.84655515,27.91974948,30.01841675,48.99646232,39.11106593,12.18078372,8.541432936,2.656192338,2.941441905,27.5192129,8.147536188,26.16293904,19.9186124,4.988620119,61.03404787,34.53606614,25.76715104,22.00284979,10.67468193,5.386945382,2.068242852,1.681191849,1.58727437,2.807075379
DodgerLoopDay,78,80,7,288,249.2990781,227.5569945,92.08068811,4.188027791,6.9150628,4.228961173,2.776741144,3.036389091,2.224711506,2.485639437,2.091483542,1.647869465,1.795860482,126.0334333,109.5332738,87.48300849,59.42728172,108.2580195,44.4763275,14.75959421,14.92031791,9.318006606,11.22901015,77.08076504,28.8011312,79.45590865,81.74614684,16.41000882,55.89996203,31.94626373,82.80614774,78.94068381,24.39139242,24.0475485,9.678324945,11.73047155,7.014424408,13.95289689
DodgerLoopGame,20,138,2,288,15.95228361,14.76500517,7.697075986,0.403725416,0.57990972,0.401362296,0.2501646,0.320656761,0.204089669,0.20839391,0.182025989,0.166132892,0.138662247,8.508096003,7.209126106,5.753716354,4.248516058,7.357301809,3.589256378,1.209861996,1.395002948,0.999913846,0.939748613,9.645405351,3.349815728,5.599918525,5.666992324,1.811500223,5.443549134,3.10879688,5.922101755,5.825664315,2.508278648,1.860745756,0.643672876,0.797739824,0.486242706,0.999014595
DodgerLoopWeekend,20,138,2,288,16.74139668,15.18703928,8.599323609,0.57196753,0.787791009,0.515327486,0.269201494,0.341056442,0.206485814,0.211773238,0.187864773,0.195196171,0.136537677,8.550989968,7.421572282,5.619497105,4.374431433,7.451966207,3.219107576,1.247483748,1.483983023,1.023903802,0.963810567,8.678059964,3.204963196,5.499569526,5.696970377,1.706347093,5.33685462,3.064134956,5.681086285,5.63393986,2.306319396,1.655566024,0.685434785,0.800764004,0.522413304,1.016019399
ECG200,100,100,2,96,24.94761875,14.64362051,7.202897509,0.917254869,1.368342717,1.125577923,0.887769597,0.885645663,0.8040754,0.562538519,0.384964816,0.596579909,0.297352558,9.252552064,7.264754263,5.460620953,4.550046058,7.623676417,5.135878443,2.177338933,2.242435925,0.827471717,1.17865085,7.953608624,2.707855837,7.944554893,7.601968417,1.80657689,7.929813154,4.519098829,6.678099182,6.238673356,3.116013301,2.975705418,1.35071959,1.47980308,0.779141812,1.282903168
ECG5000,500,4500,5,140,1548.392014,393.7980094,204.0563334,9.149816194,17.67250948,25.75545087,6.53696286,8.755513167,15.56445867,8.4391104,6.534978234,3.567888864,7.545985582,343.4448603,261.6202284,284.8879169,296.7604142,282.5998844,148.80292,52.07649881,51.64661757,19.95852892,23.7234465,207.5992775,64.17434833,283.7670996,312.8551537,49.4928809,278.6698695,162.8319021,197.8062231,187.9060057,86.08863717,78.82779886,32.97040567,38.56380461,19.65106437,41.3668932
