dataset_name,classifier_name,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time,train_time_std
BeetleFly,UCRSuite_LOOCV,32.186680932,,,,,32.186680932,0.0
BirdChicken,UCRSuite_LOOCV,23.113860038,,,,,23.113860038,0.0
Coffee,UCRSuite_LOOCV,21.690418556,,,,,21.690418556,0.0
Beef,UCRSuite_LOOCV,36.897708159,,,,,36.897708159,0.0
OliveOil,UCRSuite_LOOCV,85.779857566,,,,,85.779857566,0.0
Rock,UCRSuite_LOOCV,526.775082,,,,,526.775082,0.0
PickupGestureWiimoteZ,UCRSuite_LOOCV,43.424113565,,,,,43.424113565,0.0
ShakeGestureWiimoteZ,UCRSuite_LOOCV,54.969367794,,,,,54.969367794,0.0
Wine,UCRSuite_LOOCV,22.543194123,,,,,22.543194123,0.0
FaceFour,UCRSuite_LOOCV,21.066637684,,,,,21.066637684,0.0
Car,UCRSuite_LOOCV,218.680371245,,,,,218.680371245,0.0
Meat,UCRSuite_LOOCV,176.648031482,,,,,176.648031482,0.0
Lightning2,UCRSuite_LOOCV,235.464056215,,,,,235.464056215,0.0
Herring,UCRSuite_LOOCV,186.398267742,,,,,186.398267742,0.0
Lightning7,UCRSuite_LOOCV,92.661964753,,,,,92.661964753,0.0
DodgerLoopDay,UCRSuite_LOOCV,227.556994544,,,,,227.556994544,0.0
DodgerLoopGame,UCRSuite_LOOCV,14.765005165,,,,,14.765005165,0.0
DodgerLoopWeekend,UCRSuite_LOOCV,15.187039277,,,,,15.187039277,0.0
HouseTwenty,UCRSuite_LOOCV,1426.091797849,,,,,1426.091797849,0.0
ToeSegmentation2,UCRSuite_LOOCV,33.526238556,,,,,33.526238556,0.0
BME,UCRSuite_LOOCV,3.394921326,,,,,3.394921326,0.0
UMD,UCRSuite_LOOCV,5.090432252,,,,,5.090432252,0.0
ECG200,UCRSuite_LOOCV,14.64362051,,,,,14.64362051,0.0
GunPoint,UCRSuite_LOOCV,4.840511761,,,,,4.840511761,0.0
ShapeletSim,UCRSuite_LOOCV,57.295828242,,,,,57.295828242,0.0
Trace,UCRSuite_LOOCV,44.696794015,,,,,44.696794015,0.0
ACSF1,UCRSuite_LOOCV,3062.547924276,,,,,3062.547924276,0.0
Fungi,UCRSuite_LOOCV,3.467510385,,,,,3.467510385,0.0
Plane,UCRSuite_LOOCV,35.680743964,,,,,35.680743964,0.0
ArrowHead,UCRSuite_LOOCV,12.997611987,,,,,12.997611987,0.0
Ham,UCRSuite_LOOCV,568.285353312,,,,,568.285353312,0.0
Worms,UCRSuite_LOOCV,4238.637308914,,,,,4238.637308914,0.0
WormsTwoClass,UCRSuite_LOOCV,4199.229073477,,,,,4199.229073477,0.0
InsectEPGSmallTrain,UCRSuite_LOOCV,20.025466802,,,,,20.025466802,0.0
ToeSegmentation1,UCRSuite_LOOCV,31.671676375,,,,,31.671676375,0.0
SmoothSubspace,UCRSuite_LOOCV,3.83887616,,,,,3.83887616,0.0
GesturePebbleZ1,UCRSuite_LOOCV,455.536895007,,,,,455.536895007,0.0
GesturePebbleZ2,UCRSuite_LOOCV,551.425402439,,,,,551.425402439,0.0
InsectEPGRegularTrain,UCRSuite_LOOCV,209.728898537,,,,,209.728898537,0.0
PigAirwayPressure,UCRSuite_LOOCV,3065.612831602,,,,,3065.612831602,0.0
PigArtPressure,UCRSuite_LOOCV,9302.339093692,,,,,9302.339093692,0.0
